City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Sao Filipe,CV,78.75,broken clouds,14.8961,-24.4956,Hotel Xaguate
154,Portland,US,76.6,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
156,Tanete,ID,80.37,broken clouds,-3.9443,119.7848,Wisma Tri Multi
162,Midland,US,87.35,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
163,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
167,Ranong,TH,77.11,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
169,Sola,VU,78.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
171,Pizarro,CO,78.93,light rain,4.9533,-77.366,Hotel Limonar
178,Road Town,VG,83.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
179,Jieshi,CN,83.95,few clouds,22.8134,115.8257,Yuehai Hotel
184,Tarauaca,BR,76.95,overcast clouds,-8.1614,-70.7656,Flat Temporada
185,Isangel,VU,75.6,broken clouds,-19.55,169.2667,Tanna Lodge
189,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
192,Biak,ID,79.54,light rain,-0.9131,122.8766,Penginapan Kim
202,Port Hueneme,US,78.62,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
207,Kassala,SD,79.32,clear sky,15.451,36.4,Amassi Hotel Gash
215,Charters Towers,AU,78.91,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
216,Bubaque,GW,83.53,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
217,Voh,NC,78.69,few clouds,-20.9667,164.7,Le gîte du Koniambo
222,Touros,BR,77.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
224,Nhulunbuy,AU,84.85,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
225,Noumea,NC,78.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
227,Port Blair,IN,80.01,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Namatanai,PG,84.67,light rain,-3.6667,152.4333,Seagulls Inn Namatani
229,Ciudad Bolivar,VE,84.61,overcast clouds,8.1222,-63.5497,Hotel Edi
230,Buala,SB,85.08,light rain,-8.145,159.5921,Maringe Lagoon Lodge
235,Naze,JP,79.03,few clouds,28.3667,129.4833,Shishime Hotel
236,Juazeiro,BR,80.71,few clouds,-9.4117,-40.4986,JB Hotel
237,Faanui,PF,79.88,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
238,Tateyama,JP,76.1,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
243,Don Sak,TH,81.14,overcast clouds,9.3168,99.6918,Sea Sun Moon Hostel
245,Bacolod,PH,81.57,broken clouds,10.6667,122.95,Planta Hotel & Residences
249,Katsuura,JP,76.19,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
252,Nam Som,TH,78.26,broken clouds,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
260,Dingle,PH,80.94,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
263,Mogadishu,SO,77.81,few clouds,2.0371,45.3438,Hotel Juba
264,San Patricio,US,84.92,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
267,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
269,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
275,Kieta,PG,85.41,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
276,Saint-Louis,SN,85.03,broken clouds,16.3333,-15.0,
281,Samut Sakhon,TH,80.06,overcast clouds,13.5833,100.3,Taweesuk Residence
282,Camopi,GF,76.51,overcast clouds,3.1655,-52.3158,La pousada
284,Tual,ID,80.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
286,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
289,Teshie,GH,76.91,light rain,5.5836,-0.1072,Adinkra Lodge
292,Saint Anthony,US,78.8,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
302,Kalianget,ID,81.39,broken clouds,-7.05,113.9333,Pesanggrahan Garam
305,Nuzvid,IN,75.33,heavy intensity rain,16.7833,80.85,HI-TECH LODGE
311,Mount Pleasant,US,75.0,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
313,Omboue,GA,76.73,broken clouds,-1.5746,9.2618,Hotel Olako
316,Steamboat Springs,US,78.73,clear sky,40.485,-106.8317,Steamboat Grand
320,Kudahuvadhoo,MV,82.18,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
328,Nkayi,CG,77.45,overcast clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
334,Parrita,CR,83.07,overcast clouds,9.5201,-84.3225,Beso del Viento
335,Natal,BR,77.04,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
339,Pontes E Lacerda,BR,77.43,broken clouds,-15.2261,-59.3353,Hotel Bressan
340,Maple Creek,CA,81.64,scattered clouds,49.9168,-109.4848,Willowbend Campground & Cabins
341,Teahupoo,PF,78.76,few clouds,-17.8333,-149.2667,Vanira Lodge
346,Mackay,AU,78.04,few clouds,-21.15,149.2,International Lodge Motel
