City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
408,Ahuimanu,US,21.4447,-157.8378,89.31,64,40,23.02,scattered clouds
409,Burnie,AU,-41.0667,145.9167,49.73,71,72,5.46,broken clouds
410,Marzuq,YE,14.4,46.4667,75.31,15,6,2.84,clear sky
411,Roald,NO,62.5833,6.1333,62.11,88,90,3.44,overcast clouds
412,Soverato,IT,38.685,16.5499,64.35,49,65,5.5,broken clouds
413,Moindou,NC,-21.6924,165.677,78.75,50,72,7.4,broken clouds
414,Hwange,ZW,-18.3693,26.5019,69.13,28,0,2.48,clear sky
415,Tutoia,BR,-2.7619,-42.2744,79.47,84,47,11.03,scattered clouds
416,Mosquera,CO,4.7059,-74.2302,59.09,44,37,9.22,scattered clouds
417,Roebourne,AU,-20.7833,117.1333,72.52,38,5,12.95,clear sky
418,Ladario,BR,-19.0047,-57.6017,77.02,54,83,3.58,broken clouds
419,Lasa,IT,46.6166,10.7002,59.02,95,91,3.85,overcast clouds
420,Tuatapere,NZ,-46.1333,167.6833,48.81,44,5,0.81,clear sky
421,Molepolole,BW,-24.4066,25.4951,68.9,30,5,7.52,clear sky
422,Istanbul,TR,41.0351,28.9833,63.82,72,0,6.91,clear sky
423,Truth Or Consequences,US,33.1284,-107.2528,75.9,53,1,6.91,clear sky
424,Villa Bruzual,VE,9.3328,-69.1208,77.0,84,89,3.47,overcast clouds
425,Coffs Harbour,AU,-30.3,153.1333,64.36,67,90,9.22,overcast clouds
426,Lieksa,FI,63.3167,30.0167,43.45,89,67,1.03,broken clouds
427,Misratah,LY,32.3754,15.0925,74.52,66,76,6.91,broken clouds
428,Dingzhou,CN,38.5131,114.9956,64.47,85,83,3.09,light rain
429,Mandalgovi,MN,45.7625,106.2708,44.11,32,0,9.04,clear sky
430,Cabo San Lucas,MX,22.8909,-109.9124,88.52,72,15,6.67,few clouds
431,Port Moresby,PG,-9.4431,147.1797,83.28,73,45,5.48,scattered clouds
